TopographyDrainage,RiverManagement,Deforestation,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,WetlandLoss,InadequatePlanning,PoliticalFactors,rainfall_today,rainfall_last_3_days,rainfall_last_7_days,flood_reports_24h,waste_reports_24h,population_density,elevation,river_distance,drainage_score,climate_stress_index,drainage_risk_index,development_pressure,ecological_pressure,preparedness_gap,infrastructure_decay,agriculture_pressure,coastal_exposure,target
8,6,6,6,2,3,2,5,7,4,2,3,3,2,6,3,7,10,3,4,4,8,6,10,12,30,16,15,7,11,5,7,45.0
4,5,7,1,5,5,4,6,2,6,2,1,9,1,3,8,17,25,8,7,1,4,5,9,72,19,7,24,7,9,9,2,47.5
10,4,1,4,7,4,9,2,4,4,8,6,8,3,6,3,8,11,3,7,1,10,4,7,15,25,7,21,5,19,13,4,51.5
4,2,7,1,4,6,4,9,2,6,6,8,6,6,10,4,8,12,4,3,8,4,2,4,16,11,24,25,15,22,10,2,52.0
7,5,2,5,2,7,5,7,6,5,3,3,4,3,4,3,11,14,3,5,4,7,5,7,24,24,20,14,10,9,12,6,47.5
6,6,4,3,1,3,5,1,5,9,5,5,3,3,2,6,10,16,6,6,7,6,6,10,24,25,42,21,4,8,8,5,47.0
7,4,5,4,8,8,4,6,4,5,4,7,5,4,8,6,11,17,6,5,7,7,4,8,30,23,35,19,10,23,12,4,56.99999999999999
3,5,5,6,7,6,5,5,6,9,7,10,5,4,5,7,13,20,7,6,6,3,5,4,42,18,36,26,9,22,11,6,58.5
3,5,4,3,2,9,7,8,8,7,5,4,6,5,7,6,17,23,6,5,9,3,5,2,66,13,45,22,13,13,16,8,57.99999999999999
3,5,6,7,7,10,4,5,6,5,6,7,7,4,8,4,7,11,4,2,5,3,5,7,12,22,10,24,9,22,14,6,55.50000000000001
1,7,4,4,3,0,2,6,4,8,5,5,4,2,6,5,12,17,5,5,7,1,7,6,35,18,35,21,8,14,2,4,45.5
9,1,4,5,8,4,6,5,4,3,5,6,6,14,3,6,13,19,6,3,4,9,1,8,42,23,12,18,19,17,10,4,55.50000000000001
9,4,1,2,8,4,5,4,7,7,3,4,3,6,3,4,8,12,4,5,2,9,4,5,16,20,10,14,10,15,9,7,45.0
3,7,9,11,7,8,3,1,5,4,2,3,6,7,4,6,10,16,6,7,4,3,7,4,24,25,28,21,8,14,11,5,52.5
1,9,4,6,3,4,2,8,3,2,6,4,4,2,8,8,15,23,8,6,5,1,9,4,56,20,30,16,10,15,6,3,48.0
2,4,6,6,6,2,4,5,5,3,4,2,3,4,5,7,12,19,7,5,8,2,4,2,35,14,40,16,9,13,6,5,44.0
4,4,4,7,2,6,7,5,5,2,6,1,4,4,5,7,10,17,7,10,3,4,4,4,21,19,30,16,9,8,13,5,46.5
7,7,6,6,6,2,8,6,3,4,7,6,5,5,7,4,9,13,4,5,4,7,7,3,20,23,20,22,11,19,10,3,53.0
2,6,4,7,3,5,4,9,8,5,1,7,3,4,6,5,8,13,5,5,3,2,6,4,15,19,15,13,13,16,9,8,47.0
6,2,5,2,4,6,4,3,6,1,8,8,9,4,6,5,16,21,5,2,4,6,2,1,55,11,8,23,7,18,10,6,48.5
9,8,8,2,5,8,7,6,11,7,4,2,3,3,1,7,9,16,7,7,6,9,8,4,14,23,42,22,9,8,15,11,55.00000000000001
8,8,9,6,3,4,4,6,4,4,9,5,8,4,6,5,10,15,5,8,10,8,8,5,25,27,80,30,10,14,8,4,60.5
